t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t2773	0.34388143	0.32393548	0.3226733	0.29336682	0.23079956	0.16166002	0.09595229	0.036548525	0.003304188	0	0
t2774	0	0	0	0	2.98E-05	0.005189193	0.031095618	0.075147204	0.14639404	0.19608375	0.26731575
t2775	0.297827	0.37986106	0.3915835	0.3665332	0.33923206	0.2938375	0.23083723	0.1585599	0.08251321	0.02827147	0.002624964
t2776	0	0	0	0	0	0	6.28E-05	0.005373238	0.029836781	0.062668204	0.109594196
t2777	0.17103265	0.24011962	0.2799388	0.31032148	0.32621157	0.32056507	0.3059813	0.2689633	0.20959994	0.13630839	0.07528483
t2778	0.02389257	0.002344022	0	0	0	0	0	0	3.53E-05	0.004476429	0.029244924
t2779	0.07176532	0.12045381	0.17110439	0.2478405	0.2952338	0.32270786	0.3345617	0.3505261	0.3364448	0.3143705	0.25592408
t2780	0.18475504	0.10047428	0.04008899	0.003093311	0	0	0	0	0	0	2.70E-05
t2781	0.00576706	0.042445116	0.10363429	0.15353204	0.21795925	0.26954255	0.30863723	0.363544	0.34899133	0.37577787	0.34080407
t2782	0.28356257	0.21455622	0.14842142	0.088112734	0.03348523	0.00283259	0	0	0	0	0
t2783	0	2.33E-05	0.00640131	0.03922039	0.08943327	0.142066	0.194825	0.2628671	0.31346473	0.33811066	0.34036
t2784	0.30912152	0.2634653	0.20203067	0.15443723	0.111236975	0.07042471	0.024118684	0.001727312	0	0	0
t2785	0	0	0	0	0.003379394	0.02556686	0.06567376	0.12565222	0.19955775	0.28257784	0.32355505
t2786	0.374377	0.3606948	0.28870824	0.24829672	0.1821091	0.14513047	0.09867012	0.063844725	0.026142899	0.002435872	0
t2787	0	0	0	0	0	0	0.004867561	0.03601321	0.09555033	0.1315695	0.19534247
t2788	0.2745956	0.33701217	0.38576752	0.412055	0.40244982	0.3854778	0.31700176	0.26735726	0.17593709	0.097894914	0.027886815
t2789	0.00181674	0	0	0	0	0	0	0	0.00456958	0.045459162	0.12307191
t2790	0.20522715	0.28064594	0.3856439	0.42168736	0.4167538	0.42118868	0.4210644	0.40265244	0.32507044	0.25060233	0.17672667
t2791	0.10757931	0.037283234	0.002239019	0	0	0	0	0	0	0	0.003124812
t2792	0.034203775	0.095627435	0.15723415	0.24484816	0.30192214	0.3542017	0.35169965	0.34897703	0.32008928	0.2933963	0.24620248
t2793	0.19469242	0.1279391	0.064261034	0.022115195	0.001480348	0	0	0	0	0	0
t2794	0	0.002945975	0.020735914	0.04917875	0.09404199	0.11275883	0.15733843	0.1643306	0.1965524	0.20061651	0.1964363
t2795	0.16479759	0.13534029	0.10140815	0.06296845	0.032077953	0.010854635	0.000449534	0	0	0	0
t2796	0	0	0	0.002130072	0.020251542	0.054307047	0.120419346	0.19351721	0.2567528	0.315868	0.37692538
t2797	0.36275342	0.31351304	0.25052232	0.201021	0.13827099	0.0923024	0.04657467	0.014763553	0.000776597	0	0
t2798	0	0	0	0	0	0.001585073	0.017198317	0.04379479	0.07881914	0.115202606	0.14931953
t2799	0.17492287	0.22145697	0.24238794	0.2306914	0.21281354	0.17139883	0.13946325	0.09361942	0.050397404	0.014098907	0.00115132
t2800	0	0	0	0	0	0	0	0.002466612	0.03541866	0.10733711	0.19020566
t2801	0.2693581	0.3272978	0.39209935	0.44469237	0.4864943	0.49801713	0.48695147	0.4269506	0.33693704	0.24045217	0.13555373
t2802	0.044448838	0.002082818	0	0	0	0	0	0	0	0.004719832	0.064462766
t2803	0.18355976	0.32133806	0.459865	0.5865151	0.67289644	0.7306434	0.74952614	0.72470987	0.6547321	0.55377346	0.4276166
t2804	0.2855235	0.15067953	0.04658386	0.001841571	0	0	0	0	0	0	0
t2805	0.004278292	0.061130445	0.17608175	0.31673154	0.45096296	0.573119	0.6572568	0.7110359	0.72545266	0.6857786	0.60482305
t2806	0.5085916	0.38219157	0.2577308	0.13566087	0.040029347	0.001504018	0	0	0	0	0
t2807	0	0	0.00382154	0.057026144	0.16849211	0.29611772	0.42922902	0.5520033	0.6418465	0.6988092	0.6883895
t2808	0.64815766	0.575196	0.49027598	0.38867283	0.26656973	0.14485216	0.043089833	0.001452847	0	0	0
t2809	0	0	0	0	0.003493619	0.057472866	0.17004247	0.30450734	0.43596908	0.5542772	0.6356746
t2810	0.6867747	0.6976959	0.65480703	0.5748255	0.47552732	0.3610643	0.24184543	0.12531732	0.03829283	0.001222357	0
t2811	0	0	0	0	0	0	0.002061721	0.036846448	0.103523634	0.16955712	0.25122744
t2812	0.31644806	0.37194052	0.41164082	0.43532345	0.41993204	0.42445368	0.3401468	0.26274902	0.16436513	0.08951188	0.027005918
t2813	0.000782872	0	0	0	0	0	0	0	0.00185383	0.029896304	0.08563866
t2814	0.14499484	0.22256385	0.29430294	0.360126	0.40587288	0.45002884	0.4525342	0.42748883	0.372684	0.2985469	0.20354712
t2815	0.10188336	0.029507719	0.000779428	0	0	0	6.05E-17	6.05E-17	6.07E-17	6.07E-17	0.001838491
t2816	0.03760238	0.12467809	0.24445422	0.36255485	0.47383526	0.5511097	0.6086667	0.64004546	0.60660964	0.5313123	0.4331889
t2817	0.31350562	0.20097469	0.09947619	0.027201071	0.000468018	5.99E-17	6.03E-17	6.03E-17	6.03E-17	6.04E-17	6.06E-17
t2818	6.06E-17	0.001384661	0.031449113	0.09455847	0.16677068	0.24431428	0.3015972	0.3437645	0.3615256	0.36453897	0.34817383
t2819	0.31332812	0.28063706	0.21698381	0.14665549	0.08019339	0.020393988	0.000307538	6.08E-17	6.11E-17	6.11E-17	0
t2820	0	0	0	0.000842509	0.021623235	0.0730551	0.14454669	0.22015385	0.27483922	0.3089084	0.35555613
t2821	0.35147047	0.35477778	0.3119201	0.2676562	0.21562253	0.13814038	0.07177575	0.01870866	0.000494826	0	0
t2822	0	0	0	0	0	0.001165193	0.028873764	0.097003765	0.1652996	0.25222084	0.32657054
t2823	0.36795464	0.392226	0.39036047	0.38369834	0.33932003	0.29007986	0.23230796	0.15441151	0.0793083	0.02052841	0.00031661
t2824	0	0	0	0	0	0	0	0.000693046	0.027279207	0.09657583	0.16544381
t2825	0.25031132	0.33995673	0.38366407	0.39635235	0.39554352	0.3784045	0.3305682	0.2897489	0.22724016	0.15567352	0.08231316
t2826	0.018704237	0.000255587	0	0	0	0	0	0	0	0.000766392	0.026823767
t2827	0.09523417	0.20263727	0.2996988	0.4112896	0.46938717	0.5088947	0.50125873	0.47516623	0.4445624	0.36431682	0.2934636
t2828	0.19863132	0.1004153	0.023661017	0.000304473	0	0	0	0	0	0	0
t2829	0.000951032	0.037494604	0.13872387	0.24578717	0.3858413	0.50770533	0.57827336	0.5669681	0.5762316	0.5558324	0.49380282
t2830	0.404488	0.3102463	0.20177673	0.10066419	0.022557544	0.000188379	0	0	0	0	0
t2831	0	0	0.000744585	0.03148304	0.11401633	0.23166765	0.34063265	0.45568103	0.51989025	0.5452768	0.53199524
t2832	0.4975887	0.44171485	0.36585367	0.26727632	0.17302887	0.08014428	0.016647441	0.000111819	0	0	0
t2833	0	0	0	0	0.000560987	0.0282461	0.11187141	0.2059667	0.32788157	0.43025088	0.51230514
t2834	0.56645197	0.5672854	0.5315767	0.4531992	0.33954236	0.23645395	0.1424583	0.06320921	0.01466103	7.70E-05	0
t2835	0	0	0	0	0	0	0.000519801	0.018462753	0.06268458	0.12678286	0.19071151
t2836	0.23026595	0.30218002	0.33470947	0.36317748	0.373319	0.35468632	0.29103032	0.21269402	0.14015003	0.070138834	0.01351641
