	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1578	0.46531	0.50209	0.01174	0.2268	0.08115	0.00087	0.0723	0.01547	0.36043	0.06719	0.56175	0.00964	0.39663	0.35574	0.04471	0.53063	0.01749
t1579	0.47087	0.50598	0.01495	0.22379	0.10542	0.00108	0.10158	0.01629	0.36861	0.07427	0.5815	0.0179	0.37662	0.27114	0.03682	0.60108	0.01293
t1580	0.45347	0.50598	0.01436	0.22754	0.16394	0.0013	0.12957	0.02106	0.37581	0.0795	0.62006	0.02712	0.32454	0.18413	0.03606	0.65234	0.01267
t1581	0.42675	0.50704	0.01403	0.22902	0.21159	0.00357	0.13958	0.03348	0.37821	0.08767	0.67026	0.03937	0.27012	0.11503	0.03874	0.68636	0.01155
t1582	0.35049	0.46864	0.01514	0.22606	0.25265	0.00903	0.13297	0.05	0.38588	0.10485	0.7011	0.05323	0.22306	0.07241	0.04503	0.72095	0.00869
t1583	0.27691	0.43869	0.02901	0.23352	0.27613	0.01808	0.12538	0.07409	0.35504	0.12057	0.761	0.072	0.19304	0.05034	0.05329	0.73862	0.00594
t1584	0.23729	0.36594	0.04895	0.21567	0.29921	0.03048	0.12397	0.08377	0.35495	0.13684	0.75037	0.12037	0.17108	0.04309	0.06342	0.74121	0.00666
t1585	0.25247	0.32187	0.07523	0.18301	0.33226	0.04112	0.13224	0.10261	0.31636	0.14816	0.7607	0.19873	0.15314	0.07808	0.07279	0.74066	0.00949
t1586	0.2646	0.30304	0.09352	0.1678	0.33095	0.04512	0.13108	0.1304	0.25942	0.16828	0.77129	0.28035	0.13465	0.16475	0.07931	0.73507	0.0147
t1587	0.27162	0.27558	0.11428	0.16233	0.29437	0.05109	0.12997	0.16157	0.21945	0.18492	0.77353	0.32462	0.11774	0.24887	0.08537	0.72459	0.02133
t1588	0.26712	0.24052	0.12659	0.18191	0.27947	0.04636	0.12426	0.18142	0.20722	0.19994	0.77821	0.29997	0.10412	0.27158	0.08988	0.70855	0.02428
t1589	0.24887	0.19415	0.14627	0.18843	0.22576	0.04189	0.12082	0.21587	0.19888	0.20996	0.77335	0.26474	0.10225	0.27907	0.09266	0.67819	0.02614
